"Kenai Peninsula| AK",4,128,0,121,808,132,62,28193,100,1486,4527,1412,49648,14790,29.8,17719,2132,2627,3021,1342,512,51932,1855,1064,4861,43551,971
"Ketchikan Gateway| AK",0,0,0,0,0,0,0,10188,0,660,1535,527,13983,3933,28.1,4686,692,779,1005,217,90,56806,629,350,900,12923,164
"Kodiak Island| AK",5,59,0,52,361,45,22,9459,0,339,1107,315,13966,4517,32.3,5138,817,897,1165,159,56,60322,548,309,901,12830,151
"Lake and Peninsula| AK",0,0,0,0,0,0,0,1152,0,79,140,0,1809,679,37.5,572,92,77,98,82,27,42634,53,37,342,1468,62
"Matanuska-Susitna| AK",9,101,0,91,823,51,49,21178,403,1254,4316,1368,59848,19233,32.1,31213,2816,3086,3841,1398,609,55303,2451,1252,6419,51902,1175
"Nome| AK",0,0,0,0,0,0,0,4228,0,335,505,357,9171,3394,37,3502,594,610,616,283,113,47491,225,129,1569,7433,305
"North Slope| AK",13,54,0,20,216,78,33,8727,0,444,628,0,7369,2802,38,3673,448,459,530,148,42,65307,286,156,663,6652,132
"Northwest Arctic| AK",2,159,0,137,181,26,55,3234,0,298,252,144,7219,2983,41.3,2853,487,490,521,166,63,48637,178,93,1243,5915,211
"Petersburg| AK",1,56,1,54,249,43,21,4515,0,195,552,155,4248,1281,30.2,1197,0,0,0,174,63,53218,252,148,525,6124,110
"Prince of Wales-Hyder| AK",0,16,1,15,106,26,2,2855,0,125,409,133,6105,1893,31,1732,0,0,0,192,85,43837,177,69,736,5371,160
"Sitka| AK",5,18,0,11,254,37,21,6151,0,378,795,196,8833,2397,27.1,3139,573,533,626,207,54,55419,456,166,668,7883,94
"Skagway| AK",0,0,0,0,0,0,0,0,0,0,0,0,868,177,20.4,398,0,0,0,0,0,0,0,0,0,0,0
"Southeast Fairbanks| AK",0,0,0,0,0,0,0,2625,0,297,470,68,6173,2019,32.7,2367,297,328,358,230,83,44559,206,97,1140,4905,183
"Valdez-Cordova| AK",2,22,0,20,136,9,14,6922,0,975,748,270,10220,3018,29.5,3156,477,500,669,288,121,54394,442,243,990,9073,199
"Wade Hampton| AK",0,4,0,2,1,0,1,2745,0,169,279,93,7042,3270,46.4,2663,441,447,486,177,123,29343,68,16,1838,5166,319
"Wrangell| AK",0,0,0,0,0,0,0,0,0,0,0,0,2454,703,28.6,612,0,0,0,0,0,0,0,0,0,0,0
"Yakutat| AK",0,0,0,0,0,0,0,555,0,34,66,0,801,223,27.8,220,26,35,59,18,4,49262,25,6,107,683,19
"Yukon-Koyukuk| AK",0,0,0,0,21,14,2,2667,0,142,253,98,6493,2264,34.9,1783,369,331,370,383,142,34525,125,53,1554,4966,269
ARIZONA,7472,27186,363,17774,271269,51895,43061,2819302,19842,124954,484207,281675,5166697,1375895,26.6,2312398,362860,374106,368559,163221,57940,52835,149831,74345,698669,4322569,128318
"Apache| AZ",2,90,1,85,529,153,25,24786,345,650,2616,1379,69516,26672,38.4,23146,4218,3782,4182,5401,1540,34722,768,294,25798,42414,5108
"Cochise| AZ",67,460,7,377,4423,851,471,50792,1677,1673,8909,2801,118028,31027,26.3,43280,7291,7074,6907,5438,1976,39514,2757,1131,19772,92095,4195
"Coconino| AZ",71,486,2,361,6154,820,244,70286,254,1957,15266,4674,116717,33433,28.6,57396,12512,8710,7570,4285,1469,45946,3408,1329,20609,92467,3549
"Gila| AZ",3,242,0,228,1619,381,92,20655,242,664,3893,1620,51355,12857,25,13426,2117,2165,2561,2491,952,40740,1027,421,8752,41513,1785
"Graham| AZ",1,62,1,60,676,88,48,10562,549,260,2211,548,33541,10088,30.1,14244,2554,2237,2277,1509,662,37576,504,149,6952,23290,1363
"Greenlee| AZ",0,4,0,4,63,6,0,5216,168,88,328,0,8542,2712,31.7,2798,413,522,547,291,64,43575,221,47,842,7633,181
"La Paz| AZ",4,35,0,29,649,100,38,7461,337,312,1817,375,19643,4129,21,4422,832,849,843,1329,474,35089,285,127,3798,15585,764
"Maricopa| AZ",5361,17002,228,10487,175297,34192,31869,1891817,7588,94275,320027,215097,3097378,834861,27,1444341,224444,246693,241636,77072,27277,58635,101209,53130,355668,2671631,61519
"Mohave| AZ",48,495,15,408,6354,1476,497,54637,327,2434,13072,4335,156194,36068,23.1,52030,6764,7245,8201,6123,2451,39211,3268,1233,21252,131810,4277
"Navajo| AZ",16,283,1,254,2510,560,113,34033,555,1877,6625,2090,97876,34589,35.3,33936,5581,5338,5749,5589,1827,37803,1671,638,28054,67030,5410
"Pima| AZ",1659,5555,92,3361,53484,8936,7859,444366,992,14578,73942,36216,848521,209001,24.6,349759,63785,58097,55777,34224,10175,46466,22916,10914,120778,702860,22432
"Pinal| AZ",122,1081,4,927,7051,1670,793,50262,2110,1070,7915,2479,181283,45465,25.1,136803,11057,11858,11736,6319,2509,42389,3835,1535,27816,136690,5486
"Santa Cruz| AZ",10,129,0,118,1095,252,168,15830,206,1425,3166,788,38542,12960,33.6,14573,2054,2262,2458,1579,856,41660,607,304,9356,28859,2056
"Yavapai| AZ",37,588,7,515,6584,1484,365,70286,752,1866,13592,6216,168886,35638,21.1,53950,7943,7323,8012,6298,2522,42424,4090,1911,19552,144111,3703
"Yuma| AZ",71,674,5,560,4781,926,479,68313,3740,1825,10828,0,160675,46395,28.9,68294,11295,9951,10103,5273,3186,41187,3265,1182,29670,124581,6490
ARKANSAS,1998,11807,168,8795,97501,21269,6882,1503867,63588,86140,252948,83100,2678288,680514,25.4,1026205,181598,176674,176171,139262,47584,42936,60140,24718,411777,2188340,88478
"Arkansas| AR",8,103,3,91,552,122,15,13237,1041,772,1792,607,20672,5123,24.8,6046,1198,1184,1268,1273,413,40978,413,148,3627,16756,850
"Ashley| AR",10,86,1,71,567,175,25,12699,539,567,1572,512,24160,6470,26.8,6931,1392,1565,1610,1453,518,42339,532,202,4182,19735,965
